category,question ,answer,bonus,final_trivia,double_jepardy
Art & Literature,What album was the first to be certified platinum by the RIAA (Recording Industry Association of America)?,"""Their Greatest Hits"" by The Eagles",,,
Art & Literature,In the X-Men Comics what metal is fused with Wolverine's bones?,Adamantium,,,
Art & Literature,"In the novel by Jules Verne, who made it around the world in 80 days?",Phineas Fogg,,,
Art & Literature,What is the setting for most of John Steinbeck's novels?,Rural Farms,,,
Art & Literature,What animal taught Dr. Doolittle to talk to the animals?,A parrot,,,
Art & Literature,"Whose painting entitled ""Impression: Sunrise"" gave the name to the Impressionist movement?",Monet,,,
Art & Literature,"In Shakespeare's ""The Tempest"", what are the names of the three spirits?","Iris, Ceres, Juno",,,
Art & Literature,What Ernest Hemingway novel is set during the Spanish Civil War?,For whom the Bell Tolls,TRUE,,
Food & Beverage,1. What nickname for potatoes comes from the name of the tool used to dig them up?,spuds,,,
Food & Beverage,2. What two alcohols are used to make a Sazerac cocktail?,cognac or rye whiskey and absinthe,,,
Food & Beverage,"What popular oblong pastry is made of choux dough, filled with cream and topped with icing?",Eclair,,,
Food & Beverage,What type of milk is typically added to Vietnamese iced coffee to sweeten it?,sweetend condensed milk,,,
Food & Beverage,"Julia Child, known as ""The French Chef"", was born in what country?",USA,,,
Food & Beverage,What type of gemstone was historically worn with the belief that it would prevent the wearer from becoming drunk?,Amethyst,,,
Food & Beverage,"In the restaurant world, what does ""Blue-plate special"" refer to?",Low-priced specials that change daily,,,
Food & Beverage,"When an entree is prepared ""en brochette"", how is it served?",on a skewer,TRUE,,
Not So Common Sense,How many points is the outer white ring of an Olympic archery target worth?,one,,,
Not So Common Sense,"Up until the modern times, what type of gift was usually associated with 20th wedding anniversary?",China,,,
Not So Common Sense,What is liquid clay used in pottery called?,slip,,,
Not So Common Sense,"What is the ""Remington #2""?",Typewriter - first w/ upper and lower case,,,
Not So Common Sense,What baseball team signed a contract with Michael Jordan in 1994?,Chicago White Sox,,,
Not So Common Sense,What is Barbie's full name?,Barbera Milicent Roberts,,,
Not So Common Sense,In which direction do speed skaters race?,Counter Clockwise,,,
Not So Common Sense,In the game of cricket which bird name means that you have scored zero runs?,Duck,TRUE,,
