category,question,answer,bonus,final_trivia,double_jeopardy
History,Achilles' heel was the result of him being dipped from his ankle in what mythical river?,The Styx,,,
History,What newspaper was founded in 1889 by Charles H. Dow and Edward Jones and is now the 5th most circulated newspaper in the US?,Wall Street Journal,,,
History,What was the first living creature to go into orbit in November 1957?,a Dog,,,
History,"In 1848, what current US state was ceded to the US from Mexico?",California,,,
History,"In 2011 the Standard & Poor credit rating agency reduced the United States' debt rating from AAA to AA+. There are currently only two companies that have kept a AAA rating, meaning that their debt is considered safer than Treasury Bonds. Who are they?","Microsoft, Johnson and Johnson",,,
History,What was the name of the nation that was created and led by Cyrus the Great or Cyrus the II?,Persia,,,
History,"2014 was the year the________ Flagpole was constructed in Saudi Arabia, becoming the tallest flagpole in the world at 171 metres (561 ft) high? It has ben the Tallest flagpole in the world since its erection.",Jeddah,,,
History,What was the name of the world's first nuclear submarine and the first submarine to complete a submerged transit of the North Pole on 3 August 1958?,USS Nautilus,,,
History,What is the name of the treaty that ended the american revolutionary war?,Treaty of Paris,,,
History,In what country was Adolf Hitler born?,Austria (-Hungary),,,
History,What are the names of the US Presidents that have been assasinated?,"Lincoln, James Garfield, William McKinley, JFK",TRUE,,
History,"According to legend, what medieval fortification located in North Cornwall and owned by Charles, Prince of Wales, has a long association with legends related to King Arthur and has been considered his birthplace since the 12th century?",Tintagel Castle,TRUE,,
Food & Beverage,"A Kamikaze cocktail contains triple sec, lime juice and what?",Vodka,,,
Food & Beverage,What type of berry was once believed to cause birthmarks when eaten by pregnant women?,Strawberry,,,
Food & Beverage,Approximately how much more beer would you get in a pint served in the UK compared to one served in the US?,100ml - 1/2 cup - 3.4 oz,,,
Food & Beverage,What is the pure spirit distilled from wine?,Brandy,,,
Food & Beverage,Hawaii is the only US state to grow what?,Pinapples,,,
Food & Beverage,"What is the name given to the dish of dates, or prunes, wrapped in bacon?",Devils on Horseback,TRUE,,
Not So Common Sense,What is non-rhyming poetry called?,Blank Verse,,,
Not So Common Sense,"According to the novel, Who was marooned on his remote island for 27 years? (Friday)",Robinson Crusoe,,,
Not So Common Sense,Kandor is the former capital city of what fictional planet?,Krypton,,,
Not So Common Sense,What was the name of Sherlock Holmes' intelligent brother?,Mycroft Holmes,,,
Not So Common Sense,"In 1939 classic ""The Wizard of Oz"", what was the lion in search of?",Courage,,,
Not So Common Sense,"What famous composer composed the ""Brandenburg Concertos""?",Bach,TRUE,,
Biology,"The taxonomic order Lagomorpha, whose members have four incisors in their upper jaw and are almost strictly herbivorous, are made up of what animals, one of the top ten pets in the United States according to the American Veterinary Medical Association?",Rabbits and Hares,,TRUE,
