category,question,answer,bonus,final_trivia,double_jepardy
History,"What State was the first confederate state to be readmitted to the Union in 1866, after the Civil War? It was also the last state to withdraw from the Union in 1861.",Tennessee,,,
History,In 1979 the Soviet Union invaded what country?,"Afghanistan - ""USSR Vietnam War""",,,
History,What was the first Space Shuttle to be launched into space by the US?,Columbia in 1981,,,
History,"What car, nicknamed ""Tin Lizzie"", was named the most influential car of the 20th century?",Ford Model T,,,
History,"What particularly bloody WWI battle witnessed nearly 60,000 British casualties in just the 1st day in 1916?",Battle of the Somme - last 140 days and 1.5 million total casualties,,,
History,Guy Fawkes Day is celebrated in Britain w/ fireworks and bonfires to mark the failed attempt of the 1605 plot to blow up what?,Houses of Parliment,TRUE,,
Food & Beverage,"What potent potable, with a stag on its label, combines 56 herbs and spices and has been manufactured in Wolfenbüttel, Germany since 1935? It is defined as a digestif - a low alcohol-by-volume liqueur intended to aid digestion.","Jägermeister - The literal interpretation of the name is ""Master Hunter"". The label depicts a stag and with a cross over it, indicating the founder's love of hunting as well as his guilt.",,,
Food & Beverage,"Which seafood festival in Niceville, Florida, celebrates a fish that shares its name with a decades-old hairstyle?",Mullet,,,
Food & Beverage,What is the common name of the Asian plant in the ginger family that is often used in curry and gives food an orange color?,Tumeric,,,
Food & Beverage,"What is the everday name for NaCl, Sodium Chloride",Table salt,,,
Food & Beverage,"In ancient Chinese mythology, what fruit was believed to represent longevity and immortality?",Peach,,,
Food & Beverage,Peanuts are categorized as which type of plant?,Legume,TRUE,,
Not So Common Sense," What company, founded in Sunnyvale in 1972 by Nolan Bushnell, was one of the first heavy hitters in the video game industry? In November 1972 it released ""Pong"", one of the earliest arcade games.",Atari,,,
Not So Common Sense,"What Rock and Roll Hall of Fame group sued Verve for sampling their song ""The Last Time"" in the Verve hit ""Bitter Sweet Symphony"", and to this day collects 100% of the royalties on the song?",The Rolling Stones,,,
Not So Common Sense,In which state is the mining region commonly known as the Lead Belt?,Missouri,,,
Not So Common Sense,Which US State has both the highest and lowest points in the continental US?,California - Mt. Whitney and Death Valley,,,
Not So Common Sense,What is Nitrous Oxide more commonly known as?,Laughing Gas,,,
Not So Common Sense,"HDL and LDL are ""good"" and ""bad"" versions of what compound?",Cholesterol,TRUE,,
Not So Common Sense,"With the entire airport located below sea level, what is the lowest international airport in the world? It opened as a military base in 1916 and is a regional hub for Delta.","Amsterdam Airport Schiphol - Schipol is the third busiest airport in Europe in terms of passengers and the hub for KLM. At 1,240 feet below sea level on the shores of the Dead Sea, Bar Yehuda Airfield is the lowest airport in the world, but it is not an international airport.",,TRUE,
History,"The first game played at Boston's Fenway Park, during which the Red Sox beat the Yankees, was a major event in Boston, but it barely made the papers due to what international event that occurred just a few days earlier?","Sinking of the Titanic The first game played at Fenway Park was on April 20, 1912 . The Titanic went down the night of April 14th/15th. It is the oldest park still in use, two years older than Wrigley Field.",,TRUE,
Geography,"Washington state is home to five major volcanoes, Mount Baker, Glacier Peak, Mount Rainier, Mount St. Helens, and Mount Adams. In what range, which stretches 1,200 miles from California through British Columbia, will you find these volcanoes?","The Cascades - The Cascades are part of the Pacific Ocean's Ring of Fire. All of the eruptions in the contiguous United States over the last 200 years have been from Cascade volcanoes. The highest peak in the range is Mount Rainier at 14,411 feet.",,TRUE,
History,Which amendment to the US Constitution deals with Searches and seizures?,4th,,,
History,Who was the first US President to be on a coin?,Lincoln,,,
History,"In 2005, Bhutan became the first country to entirely ban what?",tobacco,,,
History,What farm animal did George Washington introduce to the US?,"The Mule (M donkey, F Horse)",,,
History,The Battle of Bunker Hill occurred during what war?,American Revolutionary,,,
History,Who won the Nobel Prize in Physics for discovering the nuclear fission of heavy nuclei in 1944?,Otto Hahn,TRUE,,
Food & Beverage,"Introduced in 1892 by wholesale grocer Joel Owsley Cheek, and named for a now-defunct Hotel in Nashville, Tennessee (its first major customer), what American brand uses the registered trademark ""Good to the last drop.""?",Maxwell House,,,
Food & Beverage,The Queensland nut is another name for what nut?,Macadamia Nut,,,
Food & Beverage,In the game Ms. Pac-Man eating what fruit was worth 5000 points?,Banana,,,
Food & Beverage,"In Japanese, what kind of common fish is ""maguro""?",Tuna,,,
Food & Beverage,What spice is often considered as the most expensive one by weight?,Saffron,,,
Food & Beverage,The cobnut is the fruit of what tree?,Hazel,TRUE,,
Not So Common Sense,What element is combined with iron to become steel?,carbon,,,
Not So Common Sense,What is the only breed of cat that does not have retractable claws?,Cheetah,,,
Not So Common Sense,"What creates cirques, coombs, and corries?",glaciers,,,
Not So Common Sense,What does FM stand for?,Frequency Modulation,,,
Not So Common Sense,What is Nitrous Oxide more commonly known as?,Laughing Gas,,,
Not So Common Sense,What does uranium become when it has lost all of its radioactivity?,Lead,TRUE,,
"James Bond,Not So Common Sense",How many novels did Ian Fleming write about Agent 007?,12,,,
"James Bond,Not So Common Sense",In what year was the first James Bond film released? What was the name of the film?,"1962, Dr. No",,,TRUE
"James Bond,Not So Common Sense",How many James Bond Films are there,24,,,
"James Bond,Not So Common Sense",Which actor that once played James Bond previously competed in the Mr. Universe bodybuilding competition?,Sean Connery,,,
"James Bond,Not So Common Sense","Who played James Bond in the 1969 film ""On Her Majesty's Secret Service""?",George Robert Lazenby,,,
"James Bond,Not So Common Sense",Who plays the supervillian MAX ZORIN in A View to a Kill?,Christopher Walken,,,
"James Bond,Not So Common Sense",List the names of the 7 James Bond actors in the Bond films.,"Sean Connery, David Niven, George Lazenby, Roger Moore, Timothy Dalton, Pierce Brosnan, Daniel Craig",TRUE,,
Technology,"What type of digital display, found in phones, gaming consoles, and television screens, is an emissive electroluminescent layer of an organic compound that emits light in response to an electric current and works without a backlight? Apple introduced this tech to their lineup in the iPhone X.",organic light-emitting diode (OLED),,TRUE,
History,"What French mathematician, who is given credit for early developments that led to infinitesimal calculus, scribbled a note in the margin of his copy of ""Arithmetica"" regarding a problem he could prove, but which would not fit within the space of the margin? last theorem - pathagoreom therom - hardest proof in math history (good will hunting)",Fermat,,TRUE,
Art & Literature,"What novel, published as a serial in 1849–50, follows events in Charles Dickens' own life and is often considered a veiled autobiography? In the preface to the 1867 edition, Dickens referred to himself as a ""fond parent"" and the novel as his ""favourite child"".",David Copperfield,,TRUE,
History,What language do the majority of musical terms stem from?,Italian,,,
History,The Nobel Prize for Literature is presented in what Scandinavian city?,"Stockholm, Sweden",,,
History,"Who wrote the book ""Chitty-Chitty-Bang-Bang: The Magical Car""?",Ian Fleming,,,
History,Howard Roark is the main character in which of Ayn Rynd's novels?,"""The Fountainhead""",,,
History,How many lines are in a limerick?,5,,,
History,"What is the name of Captain Nemo's submarine in ""Twenty Thousand Leagues Under the Sea""?",The Nautilus,TRUE,,
Food & Beverage,What do you get when you add fresh fruit to red wine?,Sangria,,,
Food & Beverage,"What is the main ingredient in the Scottish dish ""stovies""?",Potatoes,,,
Food & Beverage,"Which company makes the ""Golden Crisp"" cereal?",Post,,,
Food & Beverage,What provides the red color in a Tequila Sunrise?,Grenadine,,,
Food & Beverage,"Botanically, Is the cucumber a fruit or a vegetable?",Fruit,,,
Food & Beverage,What ingredient is commonly added to make black pasta?,Squid Ink,TRUE,,
Not So Common Sense,Which planet in our solar system is known as the Earth's twin?,Venus,,,
Not So Common Sense,What scale is used to measure the hardness of minerals?,Mohs Scale,,,
Not So Common Sense,What letter is displayed on a typical hot-water tap in France?,C,,,
Not So Common Sense,What is the opposite of insulin and secreted by the pancreas?,Glucagon,,,
Not So Common Sense,What keeps the Earth's atmosphere from leaving the planet?,Gravity,,,
Not So Common Sense,"What is the handicap of a ""scratch"" golfer?",0,TRUE,,
Chemistry,"What process, which was first coined by Marcellin Berthelot from the Greek roots for ""within"" and ""hot"", is one in which energy, typically heat, is required or absorbed from surroundings? Examples include dissolving salt in water or melting ice cubes.",Endothermic Process,,TRUE,
Geography,"The Three Gorges Dam, with 22.5 gigawatts of generation capacity, has more capacity than any other power plant in the world. It also reduces the potential for floods downstream. In what country will you find this hydroelectric power plant?",China,,TRUE,
Art & Literature,"""Apocalypse Now"" follows Captain Willard on his hunt for Colonel Kurtz during the Vietnam War. It is based on 1899's ""Heart of Darkness"", which also featured Kurtz, but had a different main character. Who was searching for Kurtz in the original work?",Charles Marlow,,TRUE,
History,"Alaska has, by far, the most ocean coastline in the United States. At 6,640 miles, it has more than the other 49 states combined. At 1,350 miles, what state has the second most ocean coastline?",Florida,,,
History,"In June 622, after being warned of a plot to assassinate him, Muhammad secretly left his home in Mecca to emigrate to Yathrib, 220 miles to the north. He soon renamed the city to what, in Arabic, literally translates to ""city"". To what did he rename this Yathrib?",Medina,,,
History,What US president endorsed the Louisiana Purchase in 1803?,Thomas Jefferson,,,
History,"In 1952, Albert Einstein was offered the presidency of what country?",Israel,,,
History,Whose 1939 nomination for the Nobel Peace Prize was retracted in February of that same year?,Adolf Hitler's,,,
History,How many soldiers are shown raising the flag over Iwo Jima in the famous photograph and statue?,6,TRUE,,
Food & Beverage,"In France, what would you buy in a Boulangerie?",Bread,,,
Food & Beverage,"How many standard bottles of wine are there in a Nebuchadnezzar? 10, 15 or 20",20 Bottles,,,
Food & Beverage,"In the beer world, what does the abbreviation IBU stand for?",International Bitterness Units,,,
Food & Beverage,"What type of sea creature is the Japanese monster, Ebirah?",Shrimp,,,
Food & Beverage,The berries of the juniper tree are used to flavour which alcoholic drink? ,Gin,,,
Food & Beverage,"What crème-filled sandwich cookie, manufactured by Sunshine Biscuits for over ninety years, was discontinued when Sunshine was purchased by Keebler in 1999? It was introduced in 1908, 4 years before Oreos, and was re-introduced after Kellogg's bought Keebler in 2015.",Hydrox,TRUE,,
Not So Common Sense,"In English punctuation, a serial comma is placed immediately before the coordinating conjunction (usually and or or) in a series of three or more terms. What other name for this comma is derived from an Ivy League university's newspaper's formatting guidelines?",Oxford Comma,,,
Not So Common Sense,"What chemical element, also a member of the halogen family, is often used in hot tubs instead of chlorine since it does a better job killing algae and bacteria, and lasts for a longer period of time in warm water environments?",Bromine,,,
Not So Common Sense,"What operation, consisting of a laparotomy and a hysterotomy, is the most commonly performed procedure in US hospitals?",C Section,,,
Not So Common Sense,What is the official state sport of Alaska?,Dog Mushing,,,
