category,question ,answer,bonus,final_trivia,double_jeopardy
History,In which present-day country is the site of the battle of Waterloo?,Belgium,,,
History,For what crime was Susan B. Anthony arrested in 1872?,Voting,,,
History,1929 was the year during which what famous Massacre occured in Chicago? seven members and associates of Chicago's North Side Gang were shot by 4 unknown assailants dressed as police.,Saint Valentine’s Day Massacre,,,
History,"Which president accepted the Statue of Liberty on behalf of the American people? Hint: President twice, non consecutively.",Grover Clevland,,,
History,Which city was the first ever to host the Olympic Games twice?,Paris,,,
History,"What is the name of the historical incident which involved the seizure of the Manchurian city of Mukden (now Shenyang, Liaoning province, China) by Japanese troops in 1931, which was followed by the Japanese invasion of all of Manchuria (now Northeast China) in the years leading to WWII.",Mukden Incident/Manchurian Incident,,,
History,What is the name of the WWII European recovery program that was named for the US Secretary of State who proposed it in 1947?,Marshall Plan (George Marshall),,,
History,"What operation brought over 1,500 German scientists, engineers and technicians following the end of World War II to the US to aid in military research?",Operation Paperclip,TRUE,,
Food & Beverage,The person who invented machine-spun cotton candy was what kind of a doctor?,Dentist,,,
Food & Beverage,Gouda and Edam cheeses both originated in which country?,The Netherlands,,,
Food & Beverage,Kiwano is a type of what?,Fruit,,,
Food & Beverage,What are the main ingredients in a Cafe Cubano?,Espresso and Turbinado (demara) Sugar,,,TRUE
Food & Beverage,What was the original brand of cereal whose mascot was Sugar Bear?,Super Sugar Crisp,,,
Food & Beverage,What type of gemstone was historically worn with the belief that it would prevent the wearer from becoming drunk?,Amethyst,,,
Food & Beverage,"What fruit is used in making ""Creme de Cassis""?",Blackcurrant,,,
Food & Beverage,Cherries jubilee was created and named in honor of what?,Queen Victoria's 75th year as queen,TRUE,,
Not So Common Sense,Who was the first man to return safely from space?,Yuri Gagarin,,,
Not So Common Sense,What is Sean Connery's real first name?,Thomas,,,
Not So Common Sense,Which two features are longer on a hare than a rabbit?,Legs and Ears,,,TRUE
Not So Common Sense,Which two elements are the most common in the universe?,Hydrogen and Helium,,,
Not So Common Sense,What 1990's Russian president had quintuple bypass surgery while in office?,Boris Yeltsin,,,
Not So Common Sense,What is James Bowie reported to have dropped into a well at the Alamo?,Gold,,,
Not So Common Sense,"What is the element with the lowest boiling point, and the highest?","Helium=lowest, Tungsten=highest",,,TRUE
Not So Common Sense,What two countries noticed that they had the same flag at the 1936 Olympics in Berlin?,Haiti and Liechtenstein,TRUE,,
Not So Common Sense,The Colossus of Rhodes was an Ancient Wonder erected by Chares of Lindos in 280 BC to celebrate Rhodes' victory over the ruler of Cyprus. The statue was meant to give thanks to the Sun. What Greek god did the statue depict?,Helios,,TRUE,
History,"On November 28, 1979, a regularly operating sightseeing flight crashed into Mt. Erebus Antarctica during white-out conditions. What nation's flag carrier airline ran this flight? The accident is the nation's deadliest peacetime disaster in its history.",New Zealand Flight 901,,TRUE,
"Biology,Medicine","Hansen's disease, which typically doesn't show symptoms until a person has been infected with it for 5 to 20 years, is more commonly known by what name? This name is derived from the Greek word for scale, and the disease often carries a social stigma.",Leprosy,,TRUE,
History,Memorial day began as a day to remember the fallen soldiers of what US war?,The Civil War,,,
History,What was Amsterdam originally founded as?,Fishing village,,,
History,"Since their introduction in 1929 to the present only three animated films have been nominated for the Academy Award for Best Picture. This includes ""Up"" (2009), ""Toy Story 3"" (2010), and what 1991 release that is the only hand-drawn film ever nominated?",Beauty and the Beast,,,
History,"What London street in Mayfair, known principally for men's tailoring, was also the location for the Beatles' final live performance? The term ""bespoke"" as applied to fine tailoring is understood to have originated on this street.",Savile Row,,,
History,"Plastic novelty phones featuring what character, created by Jim Davis, are a symbol of pollution on beaches in northwestern France? A shipping container of them fell overboard in the 1980s. They have been washing up on shore ever since.",Garfield,,,
History,"What are raced annually in Venice's ""Regata Storica""?",Gondolas,,,
"History,Christmas","What year did Hallmark made its first Christmas cards? 1912, 1915, 1919",1915,,,
History,"What Family dominiated Florentine Culture, politics, and economics for much of the 15th and 16th centuries, influencing a generation of artist and scientists. ",Medici Family,TRUE,,
Food & Beverage,What country is credited with inventing the Aperol Spritz?,Italy,,,
Food & Beverage,Proscuitto crudo is cured ham from what part of a pig?,Thigh/Leg,,,
Food & Beverage,French Silk Pie is most commonly what flavor?,chocolate,,,
Food & Beverage,What is the name for the creamy liver of lobster eaten as a delicacy?,Tomalley,,,
Food & Beverage,Viticulture is the growing and harvesting of what plants?,Grapes,,,
Food & Beverage,What Australian snack is made from the yeast extract left over from making beer?,Vegemite,,,
